Index,MOSI,MISO,CLK,CS,EVENT,PB7,PC2,PC3
5966060,1,0,0,0,0,0,0,0
5966064,1,0,1,0,0,0,0,0
5966068,0,0,0,0,0,0,0,0
5966072,0,0,1,0,0,0,0,0
5966076,1,0,0,0,0,0,0,0
5966079,1,0,1,0,0,0,0,0
5966083,1,0,0,0,0,0,0,0
5966084,0,0,0,0,0,0,0,0
5966085,0,0,1,0,0,0,0,0
5966089,0,0,0,0,0,0,0,0
5966093,0,0,1,0,0,0,0,0
5966097,0,0,0,0,0,0,0,0
5966101,0,0,1,0,0,0,0,0
5966105,0,0,0,0,0,0,0,0
5966109,0,0,1,0,0,0,0,0
5966113,0,0,0,0,0,0,0,0
5966117,0,0,1,0,0,0,0,0
5966121,0,0,0,0,0,0,0,0
5966125,0,0,1,0,0,0,0,0
5966129,1,0,0,0,0,0,0,0
5966133,1,0,1,0,0,0,0,0
5966137,1,0,0,0,0,0,0,0
5966141,1,0,1,0,0,0,0,0
5966145,0,0,0,0,0,0,0,0
5966147,0,0,1,0,0,0,0,0
5966151,0,0,0,0,0,0,0,0
5966155,0,0,1,0,0,0,0,0
5966159,0,0,0,0,0,0,0,0
5966163,0,0,1,0,0,0,0,0
5966167,0,0,0,0,0,0,0,0
5966171,0,0,1,0,0,0,0,0
5966175,0,0,0,0,0,0,0,0
5966179,0,0,1,0,0,0,0,0
5966183,0,0,0,0,0,0,0,0
5966187,0,0,1,0,0,0,0,0
5966191,1,0,0,0,0,0,0,0
5966195,1,0,1,0,0,0,0,0
5966199,0,0,0,0,0,0,0,0
5966203,0,0,1,0,0,0,0,0
5966207,0,0,0,0,0,0,0,0
5966209,0,0,1,0,0,0,0,0
5966213,0,0,0,0,0,0,0,0
